(-1)col,find,length   |   (0)Wage,Transfer From Black2blonde Zanek wages,38  | (1)Fuel, Transfer to other Bank NetBank Board,37
Fuel,KONDA GROUP PTY LTD      OFFICE,31
Alchohole,THE CENTRAL HOTEL BEACONSFIELD,30
Transfer,International Transaction Fee,29
Stocks,COMMONWEALTH SEC COMMSEC,24
Fast Food,FOOD ODYSSEY OPERATION,22
Not Sure,ILLION AUSTRALIA PTY L,22
Fast Food,Officer Community Hub,21
Not Sure,DONEGAN GROUP PTY LTD,21
Fast Food,PROJECT KNOX PTY LTD,20
Fast Food,LEAP & THAI HOLDINGS,20
Fuel,BRUCE CLOUGH MOTORS,19
Shopping,COLES 7695 BERWICK,18
Shopping,COLES 0544 BERWICK,18
Alchohole,WOOLWORTHS LIQUOR,17
Fast Food,ZAGAME'S BERWICK,16
Fast Food,TAKE TOO PTY LTD,16
Elec. Hardware,SUPREME FONE FIX,16
Insur. and Reg.,VICROADS ONLINE,15
Alchohole,OFFICER CELLARS,15
Not Sure,TOBACCO STATION,15
Not Sure,CRINJE PTY LTD,14
Fast Food,OFFICER KEBABS,14
Fast Food,Guzman Y Gomez,14
Alchohole,CELLARBRATIONS,14
Alchohole,WOOLWORTHS LIQ,14
Alchohole,Pakenham Hotel,14
Fuel,COLES EXPRESS,13
Alchohole,CENTRAL HOTEL,13
Not Sure,AA PAKENHAM ,12
Hair and Beauty,BLACK2BLONDE,12
Hair and Beauty,HAIRCUTTERS,11
Elec. Hardware,KOGAN MOBIL,11
Fast Food,WEI'S F & C,11
Shopping,OFFICEWORKS,11
Shopping,COLES 7623,10
Alchohole,LIQUORLAND,10
Shopping,WOOLWORTHS,10
Alchohole,DAN MURPHY,10
Shopping,COLES 0603,10
Elec. Softwear,GRAMMARLY,9
Fast Food,MCDONALDS,9
Fuel,FAST FUEL,9
Shopping,BUTCHERS,8
Fun Shopping,ANACONDA,8
Health,PHARMACY,8
Fast Food,JB HI FI,8
Home Hardwear,BUNNINGS,8
Fuel,7-ELEVEN,8
Transfer,Transfer,8
Hair and Beauty,IBARBER,7
Shopping,COLES  ,7
Alchohole,BWS LIQ,7
Fuel,UNITED,6
Insur. and Reg.,BINGLE,6
Fast Food,NANDOS,6
Fun Shopping,KMART,5
Rent,Board,5
Fuel,Board,5
Transport,UBER,4
Stocks,Raiz,4
Shopping,ALDI,4
Cashout,ATM,3
Alchohole,Pub,3
Fast Food,KFC,3
Fuel,BP,2
